"ID","Species","ExperimentNo","Scenario","Treatment","Exposure.1","Exposure.2","endpoint.date","endpoint.code","Bd.endpoint.status","Bd.endpoint.CTmean","Bd.endpoint.Qmean","Rv.MCPendpoint.status","Rv.MCPendpoint.CTmean","Rv.MCPendpoint.Qmean","Rv.EBF3Nendpoint.status","Rv.EBF3Nendpoint.CTmean","Rv.EBF3Nendpoint.Qmean","EMA.YN","EMA.date","EMA.GE.EMA","EMA.GE.WS","Bd.endpoint.GE","viable.GE","dead.GE","Rv.endpoint.load"
"D1.7","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,37.61559296,0.151974529,0,NA,NA,0,NA,NA,1,"",3.57616e-06,3.174818516,1.51974529,3.57616e-06,3.17481493984,NA
"D1.8","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",0,0,0,0,NA,NA,0,NA,NA,1,"",0.056759737,0.037134174,0,0.056759737,-0.019625563,NA
"D1.9","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,32.22852325,2.786651611,0,NA,NA,0,NA,NA,1,"",0,0.11432676,27.86651611,0,0.11432676,NA
"D1.10","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,30.0418396,9.08983326,0,NA,NA,0,NA,NA,1,"",0,0.00574828,90.8983326,0,0.00574828,NA
"D1.11","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,33.66719818,1.283796191,0,NA,NA,0,NA,NA,1,"",0,0.015987452,12.83796191,0,0.015987452,NA
"D1.12","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,33.41675568,1.50278759,0,NA,NA,0,NA,NA,1,"",0.003585313,3.277360916,15.0278759,0.003585313,3.273775603,NA
"D1.13","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,30.75427818,6.180986404,0,NA,NA,0,NA,NA,1,"",0.022847205,0.006388854,61.80986404,0.022847205,-0.016458351,NA
"D1.14","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,27.87834167,29.35338593,0,NA,NA,0,NA,NA,1,"",0.022849958,0.083232947,293.5338593,0.022849958,0.060382989,NA
"D1.15","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,27.80961227,30.49719429,0,NA,NA,0,NA,NA,1,"",0.062446453,0.035195831,304.9719429,0.062446453,-0.027250622,NA
"D1.16","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,29.89548492,9.834861755,0,NA,NA,0,NA,NA,NA,NA,NA,NA,98.34861755,NA,NA,NA
"D1.17","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"D1.18","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,31.21357727,4.867478371,0,NA,NA,0,NA,NA,NA,NA,NA,NA,48.67478371,NA,NA,NA
"D1.19","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,33.1866188,1.659199476,0,NA,NA,0,NA,NA,NA,NA,NA,NA,16.59199476,NA,NA,NA
"D1.20","Bb","1","Single","Bd","rvsham","bd","06/06/2018","EU",1,29.69742203,10.95617104,0,NA,NA,0,NA,NA,NA,NA,NA,NA,109.5617104,NA,NA,NA
"A2.1","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,31.80376053,6.551037788,0,0,0,0,NA,NA,1,"20/02/2019",0.000477639,0.028652851,65.51037788,0.000477639,0.028175212,NA
"A2.2","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,31.05497169,10.34529495,0,0,0,0,NA,NA,1,"20/02/2019",0.367712498,0.004950007,103.4529495,0.367712498,-0.362762491,NA
"A2.3","Bb","2","Coinfection","Rv-Bd","rv","bd","02/07/2018","MORT",1,35.81352997,0.565294266,1,31.94548988,17894.13867,1,33.36593628,367.8327637,1,"20/02/2019",0.004392793,0,5.65294266,0.004392793,-0.004392793,97.2949689962597
"A2.4","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,33.83609009,1.890862465,0,0,0,0,NA,NA,1,"20/02/2019",0.043290891,5.501189232,18.90862465,0.043290891,5.457898341,NA
"A2.5","Bb","2","Coinfection","Rv-Bd","rv","bd","01/07/2018","MORT",1,32.02804184,5.707279205,1,20.19252777,9299322,1,28.68132401,6305.608887,0,NA,NA,NA,57.07279205,NA,NA,2949.53974045933
"A2.6","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,32.19913483,5.140197754,0,0,0,0,NA,NA,0,NA,NA,NA,51.40197754,NA,NA,NA
"A2.7","Bb","2","Coinfection","Rv-Bd","rv","bd","27/06/2018","MORT",1,34.83469391,1.027585983,1,26.88067245,267418.25,1,30.67704773,1903.60083,0,NA,NA,NA,10.27585983,NA,NA,280.960425931312
"A2.8","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,35.50386047,0.682823181,0,0,0,0,NA,NA,1,"20/02/2019",0,0.00241483,6.82823181,0,0.00241483,NA
"A2.9","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,32.86988831,3.420750856,1,46.48719788,7.864595413,1,30.52653694,2056.293945,0,NA,NA,NA,34.20750856,NA,NA,0.00764929102876875
"A2.10","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,35.02178192,0.916602373,1,30.20462799,45197.21094,1,31.74324989,986.9403076,0,NA,NA,NA,9.16602373,NA,NA,91.590566505301
"A2.11","Bb","2","Coinfection","Rv-Bd","rv","bd","01/07/2018","MORT",1,33.93900299,1.775654793,1,37.8837738,760.6439819,1,41.73347855,2.282721996,1,"20/02/2019",0.001455238,0.036891721,17.75654793,0.001455238,0.035436483,666.435933269905
"A2.12","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,32.21974564,5.63638258,0,0,0,0,NA,NA,1,"20/02/2019",0.006346095,0.064342633,56.3638258,0.006346095,0.057996538,NA
"A2.13","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,30.89551544,11.4103241,0,0,0,0,NA,NA,1,"20/02/2019",0.002230479,0.217452407,114.103241,0.002230479,0.215221928,NA
"A2.14","Bb","2","Coinfection","Rv-Bd","rv","bd","26/06/2018","MORT",1,34.41598892,1.430715799,1,28.07091522,18055.23438,1,36.82867432,44.79605484,0,NA,NA,NA,14.30715799,NA,NA,806.108236293962
"A2.15","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,31.69034767,7.049931526,0,0,0,0,NA,NA,0,NA,NA,NA,70.49931526,NA,NA,NA
"A2.16","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,31.11218643,9.996465683,0,0,0,0,NA,NA,0,NA,NA,NA,99.96465683,NA,NA,NA
"A2.17","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,32.43960571,4.44917202,0,0,0,0,NA,NA,1,"20/02/2019",0.01874309,0.07231044,44.4917202,0.01874309,0.05356735,NA
"A2.18","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,30.35778427,15.87069893,0,0,0,0,NA,NA,1,"20/02/2019",0.022886377,0.065028392,158.7069893,0.022886377,0.042142015,NA
"A2.19","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,33.30083466,2.631367922,0,0,0,0,NA,NA,0,NA,NA,NA,26.31367922,NA,NA,NA
"A2.20","Bb","2","Coinfection","Rv-Bd","rv","bd","04/07/2018","EU",1,33.22408676,2.756113052,0,0,0,0,NA,NA,0,NA,NA,NA,27.56113052,NA,NA,NA
"B2.1","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,31.93987846,7.186550617,0,0,0,0,NA,NA,1,"20/02/2019",0.000790505,0,71.86550617,0.000790505,-0.000790505,NA
"B2.2","Bb","2","Coinfection","Bd-Rv","bd","rv","29/06/2018","MORT",1,30.09435654,22.06515121,0,0,0,0,NA,NA,1,"20/02/2019",0.000221959,0.009394479,220.6515121,0.000221959,0.00917252,NA
"B2.3","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,31.37129593,10.14721394,0,0,0,0,NA,NA,0,NA,NA,NA,101.4721394,NA,NA,NA
"B2.4","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,33.60377502,2.609876633,0,0,0,0,NA,NA,0,NA,NA,NA,26.09876633,NA,NA,NA
"B2.5","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,31.45330048,9.679929733,0,0,0,0,NA,NA,1,"20/02/2019",0,0.013502929,96.79929733,0,0.013502929,NA
"B2.6","Bb","2","Coinfection","Bd-Rv","bd","rv","04/07/2018","EU",1,31.01997185,12.57453346,0,0,0,0,NA,NA,1,"20/02/2019",46.01511383,0.058734886,125.7453346,46.01511383,-45.956378944,NA
