ID,Species,ExperimentNo,Scenario,Treatment,Exposure.1,Exposure.2,endpoint.date,endpoint.code,Bd.endpoint.status,Bd.endpoint.CTmean,Bd.endpoint.Qmean,Rv.MCPendpoint.status,Rv.MCPendpoint.CTmean,Rv.MCPendpoint.Qmean,Rv.EBF3Nendpoint.status,Rv.EBF3Nendpoint.CTmean,Rv.EBF3Nendpoint.Qmean,EMA.YN,EMA.date,EMA.GE.EMA,EMA.GE.WS
C2.12,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.13,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.14,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,NA,NA,NA,Negative ,0,0,NA,NA,NA,NA,,,
C2.15,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
C2.16,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
C2.17,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
C2.18,Bb,2,Single,Rv ,bdsham,rv,18/06/2018,EU,NA,NA,NA,Positive ,47.83711243,0.318618894,NA,NA,NA,NA,,,
C2.19,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
C2.20,Bb,2,Single,Rv ,bdsham,rv,04/07/2018,EU,Negative ,0,0,Negative ,0,0,NA,NA,NA,NA,,,
D2.1,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,32.101395,5.588,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.000276084,0.023836069
D2.2,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,34.55670929,1.218,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.037874244,0
D2.3,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,34.41365814,1.329,NA,NA,NA,NA,NA,NA,1,21/02/2019,0,0.172964752
D2.4,Bb,2,Single,Bd,rvsham,bd,04/07/2018,EU,Positive,31.67986679,7.092,NA,NA,NA,NA,NA,NA,1,21/02/2019,0.008424128,0.03589204
